job_id,platform,title,company,location,salary_min,salary_max,salary_currency,job_type,experience_level,remote_type,description,requirements,skills,apply_url,posted_date,scraped_date,company_rating
indeed_1769429883009,indeed,Python Developer,Hiscope Enterprises,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883009,,2026-01-26 13:18:03,
indeed_1769429883106,indeed,Python Developer,Odixcity Consulting,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883106,,2026-01-26 13:18:03,
indeed_1769429883163,indeed,Backend Python Developer â€“ Remote,Jarvis Recruitment,"Remote in New York, NY",,,USD,full-time,mid,remote,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883163,,2026-01-26 13:18:03,
indeed_1769429883209,indeed,Senior Python Backend Developer,The Motley Fool,Remote,,,USD,full-time,senior,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883209,,2026-01-26 13:18:03,
indeed_1769429883263,indeed,Python Developer Advocate,SerpApi,"Remote in Austin, TX",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883263,,2026-01-26 13:18:03,
indeed_1769429883315,indeed,Python Developer,ICF,"Remote in Reston, VA 20190",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883315,,2026-01-26 13:18:03,
indeed_1769429883365,indeed,Python Developer,InfoQuest Consulting Group Inc.,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883365,,2026-01-26 13:18:03,
indeed_1769429883453,indeed,Python Web App Developer,SAIC,"Remote in El Paso, TX 79925",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883453,,2026-01-26 13:18:03,
indeed_1769429883519,indeed,,,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883519,,2026-01-26 13:18:03,
indeed_1769429883589,indeed,Full-Stack Developer (Python & React),Flexday,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883589,,2026-01-26 13:18:03,
indeed_1769429883655,indeed,Python API Engineer Contract,AKAASA Technologies,"Remote in Boston, MA",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883655,,2026-01-26 13:18:03,
indeed_1769429883714,indeed,Python Developer,CEDENT,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883714,,2026-01-26 13:18:03,
indeed_1769429883779,indeed,"Forward Deployed Engineer, Python",Socket,"Remote in San Francisco, CA",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883779,,2026-01-26 13:18:03,
indeed_1769429883875,indeed,Software Developer,Princeton10,"Remote in Philadelphia, PA",,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883875,,2026-01-26 13:18:03,
indeed_1769429883945,indeed,Software Engineering L5 - GenAI Platform,Netflix,Remote,,,USD,full-time,mid,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429883945,,2026-01-26 13:18:04,
indeed_1769429884011,indeed,Software Engineer (Junior),Terran Robotics Inc.,Remote,,,USD,full-time,entry,on-site,,,,https://www.indeed.com/viewjob?jk=indeed_1769429884011,,2026-01-26 13:18:04,
